volontà	intenzione	4
bussola	elefante	0
seguito	macchina fotografica	0
film	pellicola	3
sergente	pistola	2.5
mulino	seme	0
gelato	colazione	1
chiave	serratura	2.5
cellulare	telefono	4
scuola materna	asilo	3.5
mondo occidentale	Western Union	0
piantina	foglia	3.5
pioggia	grandine	3
felicità	tristezza	2.5
baco da seta	bruco	3
surf	sport acquatic	3.5
macchina	camion	3
cibo	programma	1
romanzo a fumetti	fumetto	3
serpente	lucertola	3
ananas	smartphone	0
sfondo del desktop	sfondo	4
Celsius	Microsoft	0
mietitrebbia	canna da zucchero	1
jeans	donna	1
matrice	vettore	3
anidride carbonica	CO2	4
allenatore	giocatore	3
sasso	legno	1
caricabatteria	disco	0
manoscritto	articolo	2
Gmail	Yahoo	1
condensatore	diodo	1
corruzione	frode	2.5
Coca Cola	coca	3
Platone	Aristotele	3
guerra fredda	Unione Sovietica	2.5
ugello	fluido	0
fonologia	schermo	0
Zara	leggings	2
gioco del calcio	calcio	4
germe	agente patogeno	3
repubblica	duca	2.5
palla	sfera	3
Mozart	Guerre stellari	0
maschera	festa	3
Grand Theft Auto	GTA	4
autostrada	strada	3.5
reazione a catena	termodinamica	0
illustrazione	vescica	0
