volontà	intenzione	3.5
bussola	elefante	0
seguito	macchina fotografica	0
film	pellicola	2.5
sergente	pistola	2.5
mulino	seme	1
gelato	colazione	1
chiave	serratura	3
cellulare	telefono	3.5
scuola materna	asilo	3
mondo occidentale	Western Union	0
piantina	foglia	3
pioggia	grandine	3
felicità	tristezza	2.5
baco da seta	bruco	3
surf	sport acquatico	3
macchina	camion	3
cibo	programma	1.5
romanzo a fumetti	fumetto	3
serpente	lucertola	3
ananas	smartphone	0
sfondo del desktop	sfondo	3
Celsius	Microsoft	0
mietitrebbia	canna da zucchero	2
jeans	donna	1
matrice	vettore	3
anidride carbonica	CO2	4
allenatore	giocatore	2.5
sasso	legno	2
caricabatteria	disco	0
manoscritto	articolo	2.5
Gmail	Yahoo	1
condensatore	diodo	2.5
corruzione	frode	2.5
Coca Cola	coca	3.5
Platone	Aristotele	2.5
guerra fredda	Unione Sovietica	3
ugello	fluido	1
fonologia	schermo	0
Zara	leggings	2
gioco del calcio	calcio	4
germe	agente patogeno	3.5
repubblica	duca	2
palla	sfera	2.5
Mozart	Guerre stellari	0
maschera	festa	2
Grand Theft Auto	GTA	4
autostrada	strada	3.5
reazione a catena	termodinamica	1
illustrazione	vescica	0
